


SongNum|SongID      |SongName                                          |SongAlbum                               |SongArtist                    |LrcSts         |ErrorInfo
115    |28921675    |fairy stage                                       |YES！                                    |C-CLAYS                       |UNSURED        |×<输入字符串的格式不正确。>
116    |2085679972  |歯車                                                |歯車                                      |幸祜,花譜                         |EXISTED        |√
117    |34367888    |Beautiful Nightmare                               |Desktop Cinderella                      |巡音ルカ                          |EXISTED        |√
118    |2006232047  |NightTheater                                      |Night Theater                           |わかどり                          |NOLYRICS       |×<NO_LYRIC_LABEL>
119    |2145183107  |好梦歌                                               |形神合一                                    |兰音Reine                       |EXISTED        |√
120    |1810055411  |Tempestissimo (Uncut Edition)                     |ハートエイク・デバッグ -Heartache Debug-           |t+pazolite                    |NOLYRICS       |×<NO_LYRIC_LABEL>
121    |2020880853  |Dye the sky. -25 colors-                          |THE IDOLM@STER SHINY COLORS WING COLLECTION -B side-|シャイニーカラーズ                     |EXISTED        |√
122    |2101419121  |Chasing                                           |TECHCORE ESSENCE                        |Mameyudoufu,星名はる              |EXISTED        |√
123    |1824707086  |泥の分際で私だけの大切を奪おうだなんて                               |泥の分際で私だけの大切を奪おうだなんて                     |ツユ                            |EXISTED        |√
124    |2122261842  |How To Make 音ゲ～曲！                                 |How To Make 音ゲ～曲！                       |F Rabbeat                     |EXISTED        |√
125    |2645174689  |韶华梦回                                              |韶华梦回                                    |MC Ran                        |NOLYRICS       |×<NO_LYRIC_LABEL>
126    |1841240903  |Dye the sky.                                      |THE IDOLM@STER SHINY COLORS GR@DATE WING 01|シャイニーカラーズ                     |EXISTED        |√
127    |1826361712  |ニニ (feat. Qayo & mii)                             |ニニ (feat. Qayo & mii)                   |テヅカ,Qayo,Mii                  |EXISTED        |√
128    |445845838   |イヴステッパー                                           |IKI                                     |ヒトリエ                          |EXISTED        |√
129    |2075497340  |Abstruse Dilemma                                  |Abstruse Dilemma                        |打打だいず,Ashrount                |NOLYRICS       |×<NO_LYRIC_LABEL>
130    |2063845804  |ライアーメイデン (feat. りぃふ)                              |ライアーメイデン (feat. りぃふ)                    |ヤバス,りぃふ                       |EXISTED        |√
131    |1900171627  |マーシャル・マキシマイザー                                     |KAF+YOU KAFU COMPILATION ALBUM シンメトリー   |可不,柊マグネタイト                    |EXISTED        |√
132    |2635524309  |スピラ                                               |スピラ                                     |sekai                         |EXISTED        |√
133    |1964089556  |月詠に鳴る (feat. 藍月なくる)                               |CHUNITHM ALL JUSTICE COLLECTION episode Ⅲ 4|Feryquitous,藍月なくる             |EXISTED        |√
134    |2129606568  |Exhibitionism                                     |Exhibitionism                           |Milkoi                        |NOTSUPPLIED    |×<NO_LYRIC_LABEL>
